invoice_id,invoice_date,due_date,amount,counterparty,tax_line,reference,invoice_status
INV-0027,2024-04-02,2024-04-25,110050.72,"Murty, Kala and Tata",GST@18%=19809.13,REF-78387461,OVERDUE
INV-0028,2024-05-06,2024-05-21,45909.25,Shanker-Dhar,GST@18%=8263.66,REF-24716857,PENDING
INV-0029,2024-02-09,2024-03-02,313860.28,Dewan-Koshy,GST@18%=56503.67,REF-90048665,PENDING
INV-0030,2024-01-17,2024-02-10,192691.27,"Yohannan, Lall and Sangha",,REF-72820592,PAID
INV-0031,2024-05-15,2024-06-03,126081.35,"Rastogi, Pathak and Kanda",GST@18%=22694.64,REF-11540956,PAID
INV-0032,2024-06-23,2024-07-19,360500.55,Upadhyay Group,GST@18%=64890.1,REF-45812670,OVERDUE
INV-0033,2024-06-13,2024-07-13,170417.65,Batta Inc,GST@18%=30675.18,REF-68353204,PAID
INV-0034,2024-02-10,2024-02-19,227134.99,Dutta Ltd,GST@18%=40884.3,REF-77187530,PENDING
INV-0035,2024-02-15,2024-03-06,254087.0,Bhatt-Rajan,GST@18%=45735.66,REF-93926371,PENDING
INV-0036,2024-03-17,2024-04-09,420913.84,Sidhu-Wadhwa,GST@18%=75764.49,REF-91734598,PENDING
INV-0037,2024-02-20,2024-02-27,76843.21,Apte-Contractor,GST@18%=13831.78,REF-82394227,PENDING
INV-0038,2024-05-15,2024-06-14,459287.5,"Yadav, Loke and Oak",GST@18%=82671.75,REF-53507489,PENDING
INV-0039,2024-05-05,2024-05-30,10228.63,Memon Group,GST@18%=1841.15,REF-51273847,OVERDUE
INV-0040,2024-03-02,2024-03-30,29433.62,Setty Inc,GST@18%=5298.05,REF-20570592,PENDING
INV-0041,2024-01-22,2024-02-02,366087.84,"Lall, Tella and Gokhale",GST@18%=65895.81,REF-81498611,PENDING
INV-0042,2024-02-02,2024-02-26,64631.54,"Cherian, Misra and Tripathi",GST@18%=11633.68,REF-83793389,PENDING
INV-0043,2024-02-12,2024-03-01,132895.79,"Issac, Dua and Prakash",GST@18%=23921.24,REF-66792612,PENDING
INV-0044,2024-02-24,2024-03-19,464492.29,Zacharia PLC,GST@18%=83608.61,REF-51837852,OVERDUE
INV-0045,2024-04-12,2024-05-01,497600.14,Naik Group,GST@18%=89563.88,REF-68800797,PAID
INV-0046,2024-05-12,2024-06-10,226017.33,Choudhury LLC,GST@18%=40683.12,REF-40158366,PAID
INV-0047,2024-01-17,2024-02-11,169373.74,Khatri-Bhardwaj,GST@18%=30487.27,REF-84346088,PENDING
INV-0048,2024-02-28,2024-03-13,294425.84,Brar Inc,GST@18%=52996.65,REF-19528530,PENDING
INV-0049,2024-06-30,2024-07-08,315735.93,"Sunder, Biswas and Walia",GST@18%=56832.47,REF-19046318,PENDING
INV-0050,2024-01-09,2024-02-08,429887.88,Dave Ltd,GST@18%=77379.82,REF-79008866,PENDING
INV-0051,2024-03-01,2024-03-30,139599.39,Gandhi-Lanka,GST@18%=25127.89,REF-38754377,PENDING
INV-0052,2024-05-18,2024-06-06,66589.77,"Sampath, Kakar and Zacharia",GST@18%=11986.16,REF-87337818,OVERDUE
INV-0053,2024-05-01,2024-05-28,121877.12,"Iyer, Muni and Rastogi",GST@18%=21937.88,REF-64634663,PAID
INV-0054,2024-02-18,2024-03-11,47615.74,"Prakash, Sarma and Varughese",GST@18%=8570.83,REF-57553014,PAID
INV-0055,2024-04-18,2024-04-29,205845.59,Dara-Kota,GST@18%=37052.21,REF-97705310,OVERDUE
INV-0056,2024-06-14,2024-07-09,49659.73,Bhatt LLC,GST@18%=8938.75,REF-55540424,PENDING
INV-0057,2024-01-28,2024-02-07,124703.84,Karpe PLC,GST@18%=22446.69,REF-81979055,PENDING
INV-0058,2024-04-24,2024-05-04,70521.06,Amble Inc,GST@18%=12693.79,REF-47385696,OVERDUE
INV-0059,2024-04-27,2024-05-19,125278.32,"Bhargava, Karnik and Bir",GST@18%=22550.1,REF-69476001,PENDING
INV-0060,2024-05-20,2024-06-16,49405.41,Narayanan Inc,GST@18%=8892.97,REF-11980765,PAID
INV-0062,2024-04-14,2024-04-23,243077.74,Zacharia and Sons,GST@18%=43753.99,REF-63826716,PENDING
INV-0063,2024-01-16,2024-01-31,82736.24,"Solanki, Kibe and Solanki",GST@18%=14892.52,REF-62401521,PENDING
INV-0064,2024-03-08,2024-04-03,463295.78,Gupta-Chandra,GST@18%=83393.24,REF-48285503,OVERDUE
INV-0065,2024-04-18,2024-05-07,348447.46,Sankar LLC,GST@18%=62720.54,REF-98834863,OVERDUE
INV-0066,2024-05-04,2024-05-13,77821.01,Roy-Sibal,GST@18%=14007.78,REF-39219319,PENDING
INV-0067,2024-01-15,2024-02-12,289800.56,"Bhagat, Chaudhari and Bhat",GST@18%=52164.1,REF-18181586,OVERDUE
INV-0068,2024-03-21,2024-04-09,29054.05,Nori-Chopra,GST@18%=5229.73,REF-73993471,PENDING
INV-0069,2024-05-08,2024-06-04,459733.87,Handa and Sons,GST@18%=82752.1,REF-31130263,OVERDUE
INV-0070,2024-01-15,2024-02-06,480409.06,"Sen, Dey and Sami",GST@18%=86473.63,REF-34941004,OVERDUE
INV-0071,2024-01-18,2024-01-26,297720.04,Mallick Group,GST@18%=53589.61,REF-64193837,OVERDUE
INV-0072,2024-01-31,2024-02-09,470827.27,Borra Group,GST@18%=84748.91,REF-43046464,PAID
INV-0073,2024-05-28,2024-06-24,297462.32,"Chaudhari, Bedi and Zachariah",GST@18%=53543.22,REF-21003626,OVERDUE
INV-0074,2024-04-17,2024-05-03,328857.9,Chander and Sons,GST@18%=59194.42,REF-80166708,PAID
INV-0075,2024-03-21,2024-04-20,467385.78,Ray Group,GST@18%=84129.44,REF-99889098,PAID
INV-0076,2024-03-21,2024-04-10,119723.63,Kala-Rattan,GST@18%=21550.25,REF-27566185,PAID
INV-0077,2024-06-20,2024-07-17,322927.64,Gala Group,GST@18%=58126.98,REF-52436584,OVERDUE
INV-0078,2024-01-19,2024-01-29,5153.07,Ramakrishnan LLC,GST@18%=927.55,REF-85563727,PENDING
INV-0079,2024-01-26,2024-02-07,37093.73,Mangal-Sampath,GST@18%=6676.87,REF-77898694,OVERDUE
INV-0080,2024-03-08,2024-03-24,66662.06,"Sur, Dubey and Gupta",GST@18%=11999.17,REF-19233013,PAID
INV-0081,2024-03-03,2024-03-11,185078.78,Kalla-Bhardwaj,GST@18%=33314.18,REF-68812137,PENDING
INV-0082,2024-05-19,2024-05-27,351918.19,"Bhat, Murthy and Bhandari",GST@18%=63345.27,REF-97775215,PENDING
INV-0083,2024-05-15,2024-06-02,4407.64,Sood PLC,GST@18%=793.38,REF-50181935,PENDING
INV-0084,2024-06-18,2024-07-08,52241.46,"Dugar, Bhandari and Trivedi",GST@18%=9403.46,REF-45496015,PAID
INV-0085,2024-01-30,2024-02-13,444911.5,Grewal Inc,GST@18%=80084.07,REF-45496015,OVERDUE
INV-0087,2024-02-22,2024-03-13,343904.82,Koshy PLC,GST@18%=61902.87,REF-77834855,OVERDUE
INV-0088,2024-05-05,2024-06-02,125935.07,"Baral, Bumb and Saini",GST@18%=22668.31,REF-22388090,PAID
INV-0089,2024-06-11,2024-06-23,212076.1,"Virk, Mutti and Lal",GST@18%=38173.7,REF-15917225,PAID
INV-0090,2024-01-01,2024-01-10,167111.49,Murthy and Sons,GST@18%=30080.07,REF-95511909,OVERDUE
INV-0091,2024-03-08,2024-03-27,81210.2,Randhawa-Deep,GST@18%=14617.84,REF-84045292,OVERDUE
INV-0092,2024-06-29,2024-07-27,214129.62,"Mital, Shankar and Mutti",GST@18%=38543.33,REF-25015458,PAID
INV-0093,2024-01-20,2024-02-11,472552.94,Andra Group,GST@18%=85059.53,REF-83227889,OVERDUE
INV-0094,2024-01-10,2024-01-21,417380.21,"Chaudhry, Borah and Yogi",GST@18%=75128.44,REF-84158663,PAID
INV-0095,2024-02-07,2024-02-28,215178.46,Toor LLC,GST@18%=38732.12,REF-51373735,OVERDUE
INV-0096,2024-04-03,2024-04-18,449541.25,Palla Inc,GST@18%=80917.43,REF-58024342,PENDING
INV-0097,2024-02-23,2024-03-09,341192.31,Pingle LLC,GST@18%=61414.62,REF-57469942,OVERDUE
INV-0098,2024-05-23,2024-05-30,442125.28,Sarma PLC,GST@18%=79582.55,REF-93303777,PENDING
INV-0099,2024-02-09,2024-02-25,462919.03,"Mittal, Wadhwa and Anand",GST@18%=83325.43,REF-31810617,OVERDUE
INV-0100,2024-02-15,2024-03-10,440767.39,"Mistry, Chawla and Desai",GST@18%=79338.13,REF-34073380,PAID
