canonical_id,canonical_date,canonical_amount,canonical_reference,bank_record_id,ledger_record_id,invoice_record_id,settlement_record_id,match_status,exception_type,exception_source
CAN-0021,2024-01-15,114909.51,REF-52339391,BNK-0021,LED-0021,INV-0021,STL-0021,matched,date_drift,bank
CAN-0022,2024-04-12,134236.57,REF-86125617,BNK-0022,LED-0022,INV-0022,STL-0022,matched,none,none
CAN-0023,2024-03-21,106706.96,REF-63100814,BNK-0023,LED-0023,INV-0023,STL-0023,matched,none,none
CAN-0024,2024-06-13,229696.5,REF-28740864,BNK-0024,LED-0024,INV-0024,STL-0024,matched,none,none
CAN-0025,2024-03-04,372622.0,REF-45264581,BNK-0025,LED-0025,INV-0025,STL-0025,matched,none,none
CAN-0026,2024-05-29,214502.7,REF-63606628,,LED-0026,INV-0026,STL-0026,unresolved,missing_source_record,bank
CAN-0027,2024-04-02,110050.72,REF-78387461,BNK-0027,LED-0027,INV-0027,STL-0027,matched,none,none
CAN-0028,2024-05-06,45909.25,REF-24716857,BNK-0028,LED-0028,INV-0028,STL-0028,matched,none,none
CAN-0029,2024-02-09,313909.3,REF-90048665,BNK-0029,LED-0029,INV-0029,STL-0029,matched,amount_mismatch,invoice
CAN-0030,2024-01-17,192691.27,REF-72820592,BNK-0030,LED-0030,INV-0030,STL-0030,matched,missing_tax_line,invoice
CAN-0031,2024-05-15,126081.35,REF-11540956,BNK-0031,LED-0031,INV-0031,STL-0031,matched,none,none
CAN-0032,2024-06-23,360500.55,REF-45812670,BNK-0032,LED-0032,INV-0032,STL-0032,matched,date_drift,bank
CAN-0033,2024-06-13,170417.65,REF-68353204,BNK-0033,LED-0033,INV-0033,STL-0033,matched,none,none
CAN-0034,2024-02-10,227134.99,REF-77187530,BNK-0034,LED-0034,INV-0034,STL-0034,matched,none,none
CAN-0035,2024-02-15,254087.0,REF-93926371,BNK-0035,LED-0035,INV-0035,STL-0035,unresolved,duplicate_reference,settlement
CAN-0036,2024-03-17,420913.84,REF-91734598,BNK-0036,LED-0036,INV-0036,STL-0036,matched,none,none
CAN-0037,2024-02-20,76843.21,REF-82394227,BNK-0037,LED-0037,INV-0037,STL-0037,matched,none,none
CAN-0038,2024-05-15,459287.5,REF-53507489,BNK-0038,LED-0038,INV-0038,STL-0038,matched,none,none
CAN-0039,2024-05-05,10228.63,REF-51273847,BNK-0039,LED-0039,INV-0039,STL-0039,matched,none,none
CAN-0040,2024-03-02,29433.62,REF-20570592,BNK-0040,LED-0040,INV-0040,STL-0040,matched,missing_reference,settlement
CAN-0041,2024-01-22,366087.84,REF-81498611,BNK-0041,LED-0041,INV-0041,STL-0041,matched,none,none
CAN-0042,2024-02-02,64631.54,REF-83793389,BNK-0042,LED-0042,INV-0042,STL-0042,matched,none,none
CAN-0043,2024-02-12,132895.79,REF-66792612,BNK-0043,LED-0043,INV-0043,STL-0043,matched,date_drift,settlement
CAN-0044,2024-02-24,464492.29,REF-51837852,BNK-0044,LED-0044,INV-0044,STL-0044,matched,none,none
CAN-0045,2024-04-12,497577.1,REF-68800797,BNK-0045,LED-0045,INV-0045,STL-0045,matched,amount_mismatch,invoice
CAN-0046,2024-05-12,226017.33,REF-40158366,BNK-0046,LED-0046,INV-0046,STL-0046,matched,none,none
CAN-0047,2024-01-17,169373.74,REF-84346088,BNK-0047,LED-0047,INV-0047,STL-0047,matched,none,none
CAN-0048,2024-02-28,294425.84,REF-19528530,BNK-0048,LED-0048,INV-0048,STL-0048,matched,none,none
CAN-0049,2024-06-30,315735.93,REF-19046318,BNK-0049,LED-0049,INV-0049,,unresolved,missing_source_record,settlement
CAN-0050,2024-01-09,429887.88,REF-79008866,BNK-0050,LED-0050,INV-0050,STL-0050,matched,none,none
CAN-0051,2024-03-01,139599.39,REF-38754377,BNK-0051,LED-0051,INV-0051,STL-0051,matched,none,none
CAN-0052,2024-05-18,66589.77,REF-87337818,BNK-0052,LED-0052,INV-0052,STL-0052,matched,none,none
CAN-0053,2024-05-01,121877.12,REF-64634663,BNK-0053,LED-0053,INV-0053,STL-0053,matched,fuzzy_counterparty,ledger
CAN-0054,2024-02-18,47615.74,REF-57553014,BNK-0054,LED-0054,INV-0054,STL-0054,matched,none,none
CAN-0055,2024-04-18,205845.59,REF-97705310,BNK-0055,LED-0055,INV-0055,STL-0055,matched,none,none
CAN-0056,2024-06-14,49659.73,REF-55540424,BNK-0056,LED-0056,INV-0056,STL-0056,matched,none,none
CAN-0057,2024-01-28,124703.84,REF-81979055,BNK-0057,LED-0057,INV-0057,STL-0057,matched,none,none
CAN-0058,2024-04-24,70521.06,REF-47385696,BNK-0058,LED-0058,INV-0058,STL-0058,matched,none,none
CAN-0059,2024-04-28,125278.32,REF-69476001,BNK-0059,LED-0059,INV-0059,STL-0059,matched,date_drift,invoice
CAN-0060,2024-05-20,49405.41,REF-11980765,BNK-0060,LED-0060,INV-0060,STL-0060,matched,none,none
CAN-0061,2024-01-24,463220.31,REF-32321899,BNK-0061,LED-0061,,STL-0061,unresolved,missing_source_record,invoice
CAN-0062,2024-04-14,243077.74,REF-63826716,BNK-0062,LED-0062,INV-0062,STL-0062,matched,none,none
CAN-0063,2024-01-16,82736.24,REF-62401521,BNK-0063,LED-0063,INV-0063,STL-0063,matched,none,none
CAN-0064,2024-03-08,463295.78,REF-48285503,BNK-0064,LED-0064,INV-0064,STL-0064,matched,none,none
CAN-0065,2024-04-18,348447.46,REF-98834863,BNK-0065,LED-0065,INV-0065,STL-0065,matched,none,none
CAN-0066,2024-05-04,77821.01,REF-39219319,BNK-0066,LED-0066,INV-0066,STL-0066,matched,none,none
CAN-0067,2024-01-15,289800.56,REF-18181586,BNK-0067,LED-0067,INV-0067,STL-0067,matched,none,none
CAN-0068,2024-03-21,29054.05,REF-73993471,BNK-0068,LED-0068,INV-0068,STL-0068,matched,none,none
CAN-0069,2024-05-08,459733.87,REF-31130263,BNK-0069,LED-0069,INV-0069,STL-0069,matched,none,none
CAN-0070,2024-01-15,480409.06,REF-34941004,BNK-0070,LED-0070,INV-0070,STL-0070,matched,none,none
CAN-0071,2024-01-18,297720.04,REF-64193837,BNK-0071,LED-0071,INV-0071,STL-0071,matched,none,none
CAN-0072,2024-01-31,470827.27,REF-43046464,BNK-0072,LED-0072,INV-0072,STL-0072,matched,none,none
CAN-0073,2024-05-28,297462.32,REF-21003626,BNK-0073,LED-0073,INV-0073,STL-0073,matched,none,none
CAN-0074,2024-04-17,328857.9,REF-80166708,BNK-0074,LED-0074,INV-0074,STL-0074,matched,none,none
CAN-0075,2024-03-21,467385.78,REF-99889098,BNK-0075,LED-0075,INV-0075,STL-0075,matched,none,none
CAN-0076,2024-03-21,119723.63,REF-27566185,BNK-0076,LED-0076,INV-0076,STL-0076,matched,none,none
CAN-0077,2024-06-20,322927.64,REF-52436584,BNK-0077,LED-0077,INV-0077,STL-0077,matched,none,none
CAN-0078,2024-01-19,5153.07,REF-85563727,BNK-0078,LED-0078,INV-0078,STL-0078,matched,none,none
CAN-0079,2024-01-26,37093.73,REF-77898694,BNK-0079,LED-0079,INV-0079,STL-0079,matched,none,none
CAN-0080,2024-03-08,66662.06,REF-19233013,BNK-0080,LED-0080,INV-0080,STL-0080,matched,none,none
CAN-0081,2024-03-03,185078.78,REF-68812137,BNK-0081,LED-0081,INV-0081,STL-0081,matched,none,none
CAN-0082,2024-05-19,351918.19,REF-97775215,BNK-0082,LED-0082,INV-0082,STL-0082,matched,none,none
CAN-0083,2024-05-15,4407.64,REF-50181935,BNK-0083,LED-0083,INV-0083,STL-0083,matched,none,none
CAN-0084,2024-06-18,52241.46,REF-45496015,BNK-0084,LED-0084,INV-0084,STL-0084,matched,none,none
CAN-0085,2024-01-30,444911.5,REF-30863865,BNK-0085,LED-0085,INV-0085,STL-0085,unresolved,duplicate_reference,invoice
CAN-0086,2024-03-10,141237.26,REF-56020613,BNK-0086,LED-0086,,STL-0086,unresolved,missing_source_record,invoice
CAN-0087,2024-02-22,343904.82,REF-77834855,BNK-0087,LED-0087,INV-0087,STL-0087,matched,none,none
CAN-0088,2024-05-05,125935.07,REF-22388090,BNK-0088,LED-0088,INV-0088,STL-0088,matched,none,none
CAN-0089,2024-06-11,212076.1,REF-15917225,BNK-0089,LED-0089,INV-0089,STL-0089,matched,none,none
CAN-0090,2024-01-01,167111.49,REF-95511909,BNK-0090,,INV-0090,STL-0090,unresolved,missing_source_record,ledger
CAN-0091,2024-03-08,81210.2,REF-84045292,BNK-0091,LED-0091,INV-0091,STL-0091,matched,none,none
CAN-0092,2024-06-29,214129.62,REF-25015458,BNK-0092,LED-0092,INV-0092,STL-0092,matched,none,none
CAN-0093,2024-01-20,472552.94,REF-83227889,BNK-0093,LED-0093,INV-0093,STL-0093,matched,none,none
CAN-0094,2024-01-10,417380.21,REF-84158663,BNK-0094,LED-0094,INV-0094,STL-0094,matched,none,none
CAN-0095,2024-02-07,215178.46,REF-51373735,BNK-0095,LED-0095,INV-0095,STL-0095,matched,amount_mismatch,bank
CAN-0096,2024-04-03,449541.25,REF-58024342,BNK-0096,LED-0096,INV-0096,STL-0096,matched,none,none
CAN-0097,2024-02-23,341192.31,REF-57469942,BNK-0097,LED-0097,INV-0097,STL-0097,matched,none,none
CAN-0098,2024-05-23,442125.28,REF-93303777,BNK-0098,LED-0098,INV-0098,STL-0098,matched,none,none
CAN-0099,2024-02-09,462919.03,REF-31810617,BNK-0099,LED-0099,INV-0099,STL-0099,matched,none,none
CAN-0100,2024-02-15,440767.39,REF-34073380,BNK-0100,LED-0100,INV-0100,STL-0100,matched,none,none
