settlement_id,settlement_date,amount,counterparty,reference,utr_number,payment_mode,status
STL-0026,2024-05-29,214502.7,Bhatti-Kakar,REF-63606628,UTR559069356637,NEFT,PENDING
STL-0027,2024-04-03,110050.72,"Murty, Kala and Tata",REF-78387461,UTR135561213146,IMPS,SETTLED
STL-0028,2024-05-07,45909.25,Shanker-Dhar,REF-24716857,UTR208931907098,IMPS,FAILED
STL-0029,2024-02-10,313909.3,Dewan-Koshy,REF-90048665,UTR534051757557,IMPS,SETTLED
STL-0030,2024-01-17,192691.27,"Yohannan, Lall and Sangha",REF-72820592,UTR601756080094,NEFT,FAILED
STL-0031,2024-05-15,126081.35,"Rastogi, Pathak and Kanda",REF-11540956,UTR802835768946,UPI,SETTLED
STL-0032,2024-06-23,360500.55,Upadhyay Group,REF-45812670,UTR468451477211,RTGS,SETTLED
STL-0033,2024-06-13,170417.65,Batta Inc,REF-68353204,UTR708876714629,RTGS,FAILED
STL-0034,2024-02-10,227134.99,Dutta Ltd,REF-77187530,UTR461777974575,RTGS,FAILED
STL-0035,2024-02-15,254087.0,Bhatt-Rajan,REF-77187530,UTR263140158617,RTGS,FAILED
STL-0036,2024-03-18,420913.84,Sidhu-Wadhwa,REF-91734598,UTR292408151781,NEFT,FAILED
STL-0037,2024-02-20,76843.21,Apte-Contractor,REF-82394227,UTR113450992449,IMPS,SETTLED
STL-0038,2024-05-16,459287.5,"Yadav, Loke and Oak",REF-53507489,UTR289046340270,IMPS,SETTLED
STL-0039,2024-05-05,10228.63,Memon Group,REF-51273847,UTR562747155483,UPI,SETTLED
STL-0040,2024-03-02,29433.62,Setty Inc,,UTR591671732584,IMPS,FAILED
STL-0041,2024-01-22,366087.84,"Lall, Tella and Gokhale",REF-81498611,UTR651697162395,RTGS,FAILED
STL-0042,2024-02-02,64631.54,"Cherian, Misra and Tripathi",REF-83793389,UTR962116944078,UPI,PENDING
STL-0043,2024-02-10,132895.79,"Issac, Dua and Prakash",REF-66792612,UTR569876368241,NEFT,PENDING
STL-0044,2024-02-25,464492.29,Zacharia PLC,REF-51837852,UTR452534310748,UPI,SETTLED
STL-0045,2024-04-12,497577.1,Naik Group,REF-68800797,UTR401189699468,UPI,FAILED
STL-0046,2024-05-13,226017.33,Choudhury LLC,REF-40158366,UTR682386363435,IMPS,PENDING
STL-0047,2024-01-18,169373.74,Khatri-Bhardwaj,REF-84346088,UTR972304329325,NEFT,FAILED
STL-0048,2024-02-28,294425.84,Brar Inc,REF-19528530,UTR595768375362,RTGS,PENDING
STL-0050,2024-01-10,429887.88,Dave Ltd,REF-79008866,UTR601769944847,Cheque,PENDING
STL-0051,2024-03-01,139599.39,Gandhi-Lanka,REF-38754377,UTR569493820213,IMPS,FAILED
STL-0052,2024-05-19,66589.77,"Sampath, Kakar and Zacharia",REF-87337818,UTR852274855980,Cheque,SETTLED
STL-0053,2024-05-01,121877.12,"Iyer, Muni and Rastogi",REF-64634663,UTR193766746282,NEFT,PENDING
STL-0054,2024-02-18,47615.74,"Prakash, Sarma and Varughese",REF-57553014,UTR914946804206,IMPS,SETTLED
STL-0055,2024-04-18,205845.59,Dara-Kota,REF-97705310,UTR716592318610,IMPS,FAILED
STL-0056,2024-06-14,49659.73,Bhatt LLC,REF-55540424,UTR488311466297,Cheque,FAILED
STL-0057,2024-01-28,124703.84,Karpe PLC,REF-81979055,UTR417691853029,UPI,PENDING
STL-0058,2024-04-25,70521.06,Amble Inc,REF-47385696,UTR731805153549,UPI,SETTLED
STL-0059,2024-04-28,125278.32,"Bhargava, Karnik and Bir",REF-69476001,UTR631101638339,RTGS,SETTLED
STL-0060,2024-05-21,49405.41,Narayanan Inc,REF-11980765,UTR713516207200,IMPS,SETTLED
STL-0061,2024-01-25,463220.31,"Khanna, Mallick and Sunder",REF-32321899,UTR347278876628,Cheque,FAILED
STL-0062,2024-04-14,243077.74,Zacharia and Sons,REF-63826716,UTR395036212198,NEFT,SETTLED
STL-0063,2024-01-17,82736.24,"Solanki, Kibe and Solanki",REF-62401521,UTR940536690954,IMPS,PENDING
STL-0064,2024-03-09,463295.78,Gupta-Chandra,REF-48285503,UTR297594719776,RTGS,FAILED
STL-0065,2024-04-19,348447.46,Sankar LLC,REF-98834863,UTR254917689778,NEFT,SETTLED
STL-0066,2024-05-04,77821.01,Roy-Sibal,REF-39219319,UTR561177243339,Cheque,PENDING
STL-0067,2024-01-15,289800.56,"Bhagat, Chaudhari and Bhat",REF-18181586,UTR440891782309,IMPS,FAILED
STL-0068,2024-03-21,29054.05,Nori-Chopra,REF-73993471,UTR159628500646,RTGS,SETTLED
STL-0069,2024-05-08,459733.87,Handa and Sons,REF-31130263,UTR188794019516,IMPS,PENDING
STL-0070,2024-01-16,480409.06,"Sen, Dey and Sami",REF-34941004,UTR767805832031,Cheque,PENDING
STL-0071,2024-01-19,297720.04,Mallick Group,REF-64193837,UTR929854549786,UPI,SETTLED
STL-0072,2024-02-01,470827.27,Borra Group,REF-43046464,UTR222105549288,IMPS,FAILED
STL-0073,2024-05-29,297462.32,"Chaudhari, Bedi and Zachariah",REF-21003626,UTR832407605075,IMPS,SETTLED
STL-0074,2024-04-17,328857.9,Chander and Sons,REF-80166708,UTR162703623248,NEFT,SETTLED
STL-0075,2024-03-22,467385.78,Ray Group,REF-99889098,UTR335988370017,RTGS,PENDING
STL-0076,2024-03-22,119723.63,Kala-Rattan,REF-27566185,UTR230258293666,NEFT,PENDING
STL-0077,2024-06-21,322927.64,Gala Group,REF-52436584,UTR242488524208,Cheque,FAILED
STL-0078,2024-01-19,5153.07,Ramakrishnan LLC,REF-85563727,UTR716328933739,IMPS,SETTLED
STL-0079,2024-01-27,37093.73,Mangal-Sampath,REF-77898694,UTR915450068702,NEFT,PENDING
STL-0080,2024-03-08,66662.06,"Sur, Dubey and Gupta",REF-19233013,UTR732704777670,Cheque,FAILED
STL-0081,2024-03-04,185078.78,Kalla-Bhardwaj,REF-68812137,UTR803126944073,Cheque,PENDING
STL-0082,2024-05-19,351918.19,"Bhat, Murthy and Bhandari",REF-97775215,UTR123214436995,IMPS,SETTLED
STL-0083,2024-05-16,4407.64,Sood PLC,REF-50181935,UTR859487768166,IMPS,SETTLED
STL-0084,2024-06-19,52241.46,"Dugar, Bhandari and Trivedi",REF-45496015,UTR219591149697,RTGS,PENDING
STL-0085,2024-01-31,444911.5,Grewal Inc,REF-30863865,UTR188149747921,Cheque,PENDING
STL-0086,2024-03-11,141237.26,"Bir, Keer and Raval",REF-56020613,UTR466023864910,RTGS,SETTLED
STL-0087,2024-02-22,343904.82,Koshy PLC,REF-77834855,UTR660624678846,RTGS,PENDING
STL-0088,2024-05-06,125935.07,"Baral, Bumb and Saini",REF-22388090,UTR812186961287,RTGS,SETTLED
STL-0089,2024-06-11,212076.1,"Virk, Mutti and Lal",REF-15917225,UTR379801847378,RTGS,SETTLED
STL-0090,2024-01-01,167111.49,Murthy and Sons,REF-95511909,UTR936488755243,NEFT,SETTLED
STL-0091,2024-03-09,81210.2,Randhawa-Deep,REF-84045292,UTR930921351388,UPI,FAILED
STL-0092,2024-06-30,214129.62,"Mital, Shankar and Mutti",REF-25015458,UTR722263658623,UPI,PENDING
STL-0093,2024-01-21,472552.94,Andra Group,REF-83227889,UTR581684694243,NEFT,PENDING
STL-0094,2024-01-11,417380.21,"Chaudhry, Borah and Yogi",REF-84158663,UTR433424260229,IMPS,FAILED
STL-0095,2024-02-07,215178.46,Toor LLC,REF-51373735,UTR655562361507,NEFT,PENDING
STL-0096,2024-04-04,449541.25,Palla Inc,REF-58024342,UTR140595660945,NEFT,PENDING
STL-0097,2024-02-24,341192.31,Pingle LLC,REF-57469942,UTR808999160978,NEFT,FAILED
STL-0098,2024-05-24,442125.28,Sarma PLC,REF-93303777,UTR737642491247,UPI,FAILED
STL-0099,2024-02-09,462919.03,"Mittal, Wadhwa and Anand",REF-31810617,UTR730543358089,RTGS,PENDING
STL-0100,2024-02-16,440767.39,"Mistry, Chawla and Desai",REF-34073380,UTR265362113427,NEFT,PENDING
